2019-04-20 23:08:44 +0200 Notification        	Display is turned on                                                       	          
2019-04-20 23:46:20 +0200 Notification        	Display is turned off                                                      	          
2019-04-21 09:21:24 +0200 Notification        	Display is turned on                                                       	          
2019-04-21 09:21:20 +0200 Notification        	Display is turned off                                                      	          
2019-04-22 12:04:46 +0200 Notification        	Display is turned on                                                       	          
2019-04-22 13:58:52 +0200 Notification        	Display is turned off                                                      	          
2019-04-22 15:18:26 +0200 Notification        	Display is turned on                                                       	          
2019-04-22 15:25:03 +0200 Notification        	Display is turned off                                                      	          
2019-04-22 15:35:58 +0200 Notification        	Display is turned on                                                       	          
2019-04-22 17:12:20 +0200 Notification        	Display is turned off                                                      	          
2019-04-22 17:12:53 +0200 Notification        	Display is turned on                                                       	          
2019-04-22 17:13:49 +0200 Notification        	Display is turned off                                                      	          
2019-04-22 17:48:56 +0200 Notification        	Display is turned on                                                       	          
2019-04-22 18:26:57 +0200 Notification        	Display is turned off                                                      	          
2019-04-22 23:11:21 +0200 Notification        	Display is turned on                                                       	          
